"state","year","schools_offering","total","passed","female","female_passed","black","black_passed","black_male","black_male_passed","black_female","black_female_passed","hispanic","hispanic_passed","hispanic_female","hispanic_female_passed","hispanic_male","hispanic_male_passed","white","white_passed","white_male","white_female","asian","asian_passed","asian_male","asian_female","male","male_passed"
"National Data - CS A ","2006",,"14108","8227","2495","1251","668","154","468","125","200","29","1079","389","220","58","859","331","8240","5224","7081","1159","2846","1733","2178","668",,
"National Data - CS A ","2007",,"14529","8184","2665","1262","640","127","437","102","203","25","1077","377","250","58","827","319","8516","5191","7333","1183","3319","1984","2474","845",,
"National Data - CS A ","2008","1778","15014","8537","2789","1450","673","167","454","123","219","44","1142","398","223","50","919","348","8757","5359","7453","1304","3556","2169","2697","859",,
"National Data - CS A ","2009","1879","16061","9925","3096","1724","778","177","538","141","240","36","1208","450","281","43","927","407","9064","6054","7725","1339","3979","2645","2963","1016",,
"National Data - CS A ","2010","2048","19390","12550","3726","2201","825","224","577","173","248","51","1466","610","298","92","1168","518","10556","7237","8938","1618","5131","3625","3842","1289",,
"National Data - CS A ","2011","1972","21139","13463","4000","2302","893","283","671","240","222","43","1752","652","364","91","1388","561","11252","7633","9604","1648","5914","4109","4430","1484",,
"National Data - CS A ","2012","2103","24782","15678","4635","2616","1014","277","762","231","252","46","1919","764","431","115","1488","649","13320","8846","11344","1976","6869","4802","5219","1650",,
"National Data - CS A ","2013","2253","29555","19760","5485","3405","1090","388","826","317","264","71","2408","1085","488","153","1920","932","16059","11119","13711","2348","8475","6178","6403","2072","24070","16355"
"National Data - Calculus AB ","2006",,"190954","116498","92469","53489","8453","2631","3516","1203","4937","1428","15040","5826","7535","2533",,,"124190","80194",,,"29049","19281",,,,
"National Data - Calculus AB ","2007",,"204546","119388","99538","54094","9329","2578","3771","1246","5558","1332","17329","6207","8743","2651",,,"133973","83540",,,"31922","20302",,,,
"National Data - Calculus AB ","2008","10712","215086","130413","104843","59772","10290","3133","4368","1525","5922","1608","19830","7677","10024","3363",,,"139801","90517",,,"33147","21942",,,,
"National Data - Calculus AB ","2009","11254","222534","131123","108249","59203","11325","3123","4749","1490","6576","1633","21711","8048","10736","3369",,,"141748","89505",,,"35350","23303",,,,
"National Data - Calculus AB ","2010","11342","236502","130264","114989","57636","12205","2984","5277","1470","6928","1514","24053","8286","11915","3358",,,"146283","87199",,,"37608","23171",,,,
"National Data - Calculus AB ","2011","11469","245572","136451","119088","61529","13467","3382","5907","1689","7560","1693","27215","9404","13482","4051",,,"151252","90959",,,"40125","25551",,,,
"National Data - Calculus AB ","2012","11694","256163","151578","123767","68187","13852","3980","6061","2005","7791","1975","29506","11346","14346","4666",,,"154407","98784",,,"42520","28466",,,,
"National Data - Calculus AB ","2013","11963","270721","159524","130268","72863","14908","4737","6708","2306","8200","2431","34726","13705","16847","5878",,,"162844","103588",,,"46536","30993",,,"140453","86661"
"Alabama","2006",,"20","18","1","*","0","0","0","0","0","0","1","*","0","0",,,,,,,,,,,,
"Alabama","2007",,"27","20","3","*","3","*","2","*","1","*","0","0","0","0",,,,,,,,,,,,
"Alabama","2008","7","41","34","5","5","3","*","3","*","0","0","1","*","0","0",,,,,,,,,,,,
"Alabama","2009","8","24","14","4","*","3","*","2","*","1","*","0","0","0","0",,,,,,,,,,,,
"Alabama","2010","15","104","52","17","6","11","3","8","2","3","*","5","*","0","0",,,,,,,,,,,,
"Alabama","2011","12","99","61","17","7","18","5","11","3","7","2","1","*","0","0",,,,,,,,,,,,
"Alabama","2012","14","97","61","12","10","9","5","8","4","1","*","2","*","0","0",,,,,,,,,,,,
"Alabama","2013","20","126","99","22","17","8","6","6","5","2","*","1","*","0","0",,,,,,,,,,,,
"Arkansas","2006",,"98","33","15","4","10","0","5","0","5","0","2","*","0","0",,,,,,,,,,,,
"Arkansas","2007",,"83","22","5","0","3","*","2","*","1","*","3","*","0","0",,,,,,,,,,,,
"Arkansas","2008","10","117","42","18","5","10","2","8","2","2","*","2","*","1","*",,,,,,,,,,,,
"Arkansas","2009","11","106","35","13","4","6","1","6","1","0","0","9","*","1","*",,,,,,,,,,,,
"Arkansas","2010","11","121","51","17","9","9","1","5","0","4","*","10","2","3","*",,,,,,,,,,,,
"Arkansas","2011","10","152","62","19","9","7","2","7","2","0","0","21","2","2","*",,,,,,,,,,,,
"Arkansas","2012","11","146","42","26","4","3","*","2","*","1","*","18","1","2","*",,,,,,,,,,,,
"Arkansas","2013","11","173","85","48","17","7","3","4","*","3","*","14","3*","3","*",,,,,,,,,,,,
"California","2006",,"2224","1277","452","234","45","17","34","14","11","3","168","51*","29","8",,,,,,,,,,,,
"California","2007",,"2151","1220","463","234","37","10","29","7","8","3","194","49","50","4",,,,,,,,,,,,
"California","2008","169","2135","1285","441","246","27","12","22","10","5","2","199","58*","43","6",,,,,,,,,,,,
"California","2009","173","2193","1480","458","274","30","12","22","10","8","2","207","70","58","7*",,,,,,,,,,,,
"California","2010","176","2793","1933","582","360","33","20","26","16","7","4","217","88*","44","10*",,,,,,,,,,,,
"California","2011","174","3101","2224","659","429","29","15","21","10","8","5","230","101*","49","10",,,,,,,,,,,,
"California","2012","192","3920","2862","833","553","45","22","30","18","15","4","314","136","75","22*",,,,,,,,,,,,
"California","2013","211","4964","3761","1074","776","74","42","58","34","16","8","392","186","82","24*",,,,,,,,,,,,
"Florida","2006",,"979","441","147","53","58","9","43","8","15","1","194","66","23","5*",,,,,,,,,,,,
"Florida","2007",,"865","359","154","44","81","14","61","14","20","0","185","66*","29","7*",,,,,,,,,,,,
"Florida","2008","82","944","381","162","43","73","8","43","5","30","3","190","47","36","2*",,,,,,,,,,,,
"Florida","2009","88","912","438","156","66","56","6","39","5","17","1","156","66","22","5*",,,,,,,,,,,,
"Florida","2010","92","1009","457","196","67","74","14","53","12","21","2","167","70","28","10*",,,,,,,,,,,,
"Florida","2011","93","1017","503","171","67","85","21","59","16","26","5","209","82","26","5*",,,,,,,,,,,,
"Florida","2012","90","1310","562","273","80","105","13","78","11","27","2","241","102","42","10*",,,,,,,,,,,,
"Florida","2013","103","1521","663","306","107","83","16","66","15","5","1","269","120","47","14",,,,,,,,,,,,
"Georgia","1999",,"571","178","155","21","163","9","90","8","73","1","8","1*","3","0",,,,,,,,,,,,
"Georgia","2006",,"427","166","93","21","67","2","45","1","22","1","14","3*","5","*",,,"230","104",,,"76","41",,,,
"Georgia","2007",,"422","213","68","21","40","9","28","7","12","2","13","3*","1","*",,,"245","126",,,"83","52",,,,
"Georgia","2008","81","585","267","108","35","84","9","47","6","37","3","22","7*","2","*",,,"321","172",,,"128","65",,,,
"Georgia","2009","73","583","304","110","51","69","7","44","5","25","2","27","11*","3","*",,,"308","189",,,"142","79",,,,
"Georgia","2010","71","692","388","118","57","68","16","46","13","22","3","30","9*","7","*",,,"414","260",,,"143","79",,,,
"Georgia","2011","65","884","448","154","70","79","17","64","16","15","1","54","21","7","*",,,"521","292",,,"182","98",,,,
"Georgia","2012","72","1037","481","190","66","137","22","98","18","39","4","56","21*","11","3",,,"532","289",,,"254","127",,,,
"Georgia","2013","83","1261","644","229","85","129","28","96","24","33","4","71","29","16","6",,,"691","397",,,"320","167",,,,
"Illinois","2006",,"460","301","70","26","16","7","13","7","3","*","35","14","10","*",,,,,,,,,,,,
"Illinois","2007",,"465","294","73","40","14","6","12","6","2","*","27","9*","6","*",,,,,,,,,,,,
"Illinois","2008","55","473","287","64","35","32","6","25","5","7","1","32","16*","4","*",,,,,,,,,,,,
"Illinois","2009","65","575","424","66","47","29","5","24","3","5","2","23","12","2","*",,,,,,,,,,,,
"Illinois","2010","77","761","582","100","77","13","8","11","7","2","*","40","15","10","2*",,,,,,,,,,,,
"Illinois","2011","84","929","658","123","80","36","14","28","13","8","1","116","39","20","4*",,,,,,,,,,,,
"Illinois","2012","82","1199","819","183","108","47","11","33","9","14","2","113","30","31","6",,,,,,,,,,,,
"Illinois","2013","93","1559","1083","203","130","25","10","21","10","4","*","142","56","23","5",,,,,,,,,,,,
"Indiana","2006",,"120","90","15","11","1","*","0","0","1","*","2","*","0","0",,,,,,,,,,,,
"Indiana","2007",,"189","128","22","16","3","*","3","*","0","0","1","*","0","0",,,,,,,,,,,,
"Indiana","2008","37","178","113","9","8","3","*","3","*","0","0","2","*","0","0",,,,,,,,,,,,
"Indiana","2009","35","199","141","35","25","2","*","2","*","0","0","7","6","0","0",,,,,,,,,,,,
"Indiana","2010","32","178","130","21","14","3","*","3","*","0","0","1","*","0","0",,,,,,,,,,,,
"Indiana","2011","31","248","177","34","19","3","*","1","*","2","*","6","*","3","*",,,,,,,,,,,,
"Indiana","2012","28","247","152","23","13","5","3","5","3","0","0","8","*","2","*",,,,,,,,,,,,
"Indiana","2013","32","391","241","64","46","10","3","8","2","2","*","12","3","2","*",,,,,,,,,,,,
"Maryland","2006",,"752","491","119","76","67","23","42","16","25","7","26","4*","5","*",,,,,,,,,,,,
"Maryland","2007",,"808","460","152","67","114","13","69","12","45","1","27","8*","6","3*",,,,,,,,,,,,
"Maryland","2008","102","895","545","138","71","74","27","53","21","21","6","26","10","4","*",,,,,,,,,,,,
"Maryland","2009","106","1038","672","205","122","120","26","84","23","36","3","34","13*","4","*",,,,,,,,,,,,
"Maryland","2010","112","1352","830","305","159","190","34","119","27","71","7","52","25","12","3*",,,,,,,,,,,,
"Maryland","2011","110","1330","830","297","169","174","43","121","34","53","9","62","27*","16","7*",,,,,,,,,,,,
"Maryland","2012","108","1473","877","276","161","144","35","115","30","29","5","63","25","16","5*",,,,,,,,,,,,
"Maryland","2013","112","1629","1068","323","190","170","46","119","36","51","10","88","39","18","6*",,,,,,,,,,,,
"Massachusetts","2006",,"376","248","65","35","13","1","6","0","7","1","10","3*","4","*",,,,,,,,,,,,
"Massachusetts","2007",,"398","274","54","29","4","*","2","*","2","*","9","*","1","*",,,,,,,,,,,,
"Massachusetts","2008","46","313","220","41","32","3","*","1","*","2","*","15","4*","0","0",,,,,,,,,,,,
"Massachusetts","2009","58","400","276","73","43","11","6","8","5","3","*","15","3*","2","*",,,,,,,,,,,,
"Massachusetts","2010","66","503","347","69","45","13","3","47","6","37","3","32","8*","2","*",,,,,,,,,,,,
"Massachusetts","2011","77","750","457","140","83","33","8","25","7","8","1","32","13*","6","1",,,,,,,,,,,,
"Massachusetts","2012","87","913","559","179","89","40","7","31","6","9","1","50","17*","11","1",,,,,,,,,,,,
"Massachusetts","2013","91","1067","712","188","116","34","13","28","12","6","1","56","22","16","5*",,,,,,,,,,,,
"Michigan","2006",,"221","167","37","25","2","*","2","*","0","0","4","*","0","0",,,,,,,,,,,,
"Michigan","2007",,"210","138","32","21","5","0","4","*","1","*","3","*","0","0",,,,,,,,,,,,
"Michigan","2008","39","213","134","32","22","2","*","2","*","0","0","1","*","0","0",,,,,,,,,,,,
"Michigan","2009","45","269","210","55","48","6","2","6","2","0","0","9","*","3","*",,,,,,,,,,,,
"Michigan","2010","55","299","237","57","40","3","*","3","*","0","0","7","*","1","*",,,,,,,,,,,,
"Michigan","2011","46","389","322","74","66","2","*","2","*","0","0","10","10","2","*",,,,,,,,,,,,
"Michigan","2012","49","410","315","61","51","7","4","6","4","1","*","5","*","0","0",,,,,,,,,,,,
"Michigan","2013","48","577","454","88","68","9","6","8","6","1","*","12","5*","3","*",,,,,,,,,,,,
"New Jersey","2006",,"740","476","111","65","29","8","21","6","8","2","43","22*","2","*",,,,,,,,,,,,
"New Jersey","2007",,"747","479","117","64","13","3","8","1","5","2","41","18*","11","6*",,,,,,,,,,,,
"New Jersey","2008","118","696","462","107","73","15","5","12","4","3","*","47","20*","7","1*",,,,,,,,,,,,
"New Jersey","2009","119","701","488","101","69","24","6","17","5","7","1","48","21*","8","1*",,,,,,,,,,,,
"New Jersey","2010","136","942","694","156","116","22","11","17","8","5","3","53","33","9","5*",,,,,,,,,,,,
"New Jersey","2011","128","1120","748","193","124","34","15","24","12","10","3","55","24*","7","*",,,,,,,,,,,,
"New Jersey","2012","133","1235","874","217","146","37","17","32","16","5","1","74","43","20","7*",,,,,,,,,,,,
"New Jersey","2013","139","1582","1171","242","169","34","16","27","13","7","3","96","50","11","2*",,,,,,,,,,,,
"New York","2006",,"1141","628","190","91","77","14","56","13","21","1","73","21","12","2*",,,,,,,,,,,,
"New York","2007",,"1175","694","187","85","63","11","41","7","22","4","66","27","16","2*",,,,,,,,,,,,
"New York","2008","120","1050","567","179","96","64","11","46","8","18","3","58","26","8","3*",,,,,,,,,,,,
"New York","2009","127","1132","670","188","91","99","17","72","15","27","2","67","24","13","3*",,,,,,,,,,,,
"New York","2010","141","1460","979","263","161","63","13","46","11","17","2","99","47","15","1*",,,,,,,,,,,,
"New York","2011","118","1334","868","233","148","61","17","52","17","9","0","75","25","10","3*",,,,,,,,,,,,
"New York","2012","127","1821","1201","358","218","57","17","39","12","18","5","104","44","21","4*",,,,,,,,,,,,
"New York","2013","124","1858","1278","377","216","68","23","49","21","19","2","150","53","45","10",,,,,,,,,,,,
"North Carolina","2006",,"365","152","66","20","59","9","40","7","19","2","11","1*","1","*",,,,,,,,,,,,
"North Carolina","2007",,"286","131","62","21","24","4","15","3","9","1","13","3*","3","*",,,,,,,,,,,,
"North Carolina","2008","32","347","134","84","16","39","2","21","1","18","1","14","4*","3","*",,,,,,,,,,,,
"North Carolina","2009","40","492","202","85","24","37","7","25","5","12","2","16","6*","6","*",,,,,,,,,,,,
"North Carolina","2010","58","405","224","64","30","37","6","29","5","8","1","13","2*","1","*",,,,,,,,,,,,
"North Carolina","2011","61","412","242","92","40","20","2","13","1","7","1","8","*","3","*",,,,,,,,,,,,
"North Carolina","2012","80","426","249","65","31","22","3","19","3","3","*","24","6*","2","*",,,,,,,,,,,,
"North Carolina","2013","85","551","347","63","37","28","6","22","4","6","2","22","10*","0","0",,,,,,,,,,,,
"Rhode Island","2006",,"50","22","13","2","7","0","4","*","3","*","8","*","7","*",,,,,,,,,,,,
"Rhode Island","2007",,"48","19","13","2","3","*","0","0","0","0","6","*","2","*",,,,,,,,,,,,
"Rhode Island","2008","5","33","19","6","4","1","*","0","0","1","*","3","*","0","0",,,,,,,,,,,,
"Rhode Island","2009","5","27","19","6","4","1","*","1","*","0","0","0","0","0","0",,,,,,,,,,,,
"Rhode Island","2010","4","23","20","6","4","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,
"Rhode Island","2011","8","60","41","16","3","2","*","0","0","2","*","6","2","4","*",,,,,,,,,,,,
"Rhode Island","2012","7","62","30","7","1","0","0","0","0","0","0","4","*","0","0",,,,,,,,,,,,
"Rhode Island","2013","8","61","48","9","8","1","*","1","*","0","0","1","*","0","0",,,,,,,,,,,,
"South Carolina","2006",,"162","98","30","17","7","3","7","3","0","0","2","*","0","0",,,,,,,,,,,,
"South Carolina","2007",,"187","92","33","14","7","0","5","0","2","*","4","*","0","0",,,,,,,,,,,,
"South Carolina","2008","20","221","139","46","27","8","3","6","3","2","*","4","*","0","0",,,,,,,,,,,,
"South Carolina","2009","20","215","127","48","23","18","6","11","4","7","2","8","2*","1","*",,,,,,,,,,,,
"South Carolina","2010","20","209","127","50","28","11","4","5","1","6","3","9","*","2","*",,,,,,,,,,,,
"South Carolina","2011","19","214","130","55","30","14","7","10","6","4","*","4","*","1","*",,,,,,,,,,,,
"South Carolina","2012","18","276","132","63","24","24","3","12","2","12","1","10","*","3","*",,,,,,,,,,,,
"South Carolina","2013","16","275","173","57","26","19","7","13","5","6","2","14","6*","3","*",,,,,,,,,,,,
"Tennessee","2006",,"82","51","14","10","7","5","7","5","0","0","2","*","1","*",,,,,,,,,,,,
"Tennessee","2007",,"67","23","14","2","4","*","4","*","0","0","0","0","0","0",,,,,,,,,,,,
"Tennessee","2008","14","56","35","16","10","7","4","5","3","2","*","0","0","0","0",,,,,,,,,,,,
"Tennessee","2009","17","78","51","9","1","13","4","8","4","5","0","1","*","0","0",,,,,,,,,,,,
"Tennessee","2010","13","90","57","22","9","5","1","4","*","1","*","0","0","0","0",,,,,,,,,,,,
"Tennessee","2011","15","134","90","27","17","5","2","3","*","2","*","3","*","0","0",,,,,,,,,,,,
"Tennessee","2012","17","160","88","50","20","14","1","6","1","8","0","6","*","3","*",,,,,,,,,,,,
"Tennessee","2013","18","251","165","73","45","25","8","13","4","12","4","11","6","3","*",,,,,,,,,,,,
"Texas","2006",,"2411","1370","595","301","74","25","54","20","20","5","375","139","101","28*",,,,,,,,,,,,
"Texas","2007",,"2593","1398","668","323","84","18","54","12","30","6","375","128","104","25*",,,,,,,,,,,,
"Texas","2008","273","2951","1642","751","402","110","39","72","23","38","16","401","134","94","22*",,,,,,,,,,,,
"Texas","2009","294","3224","1858","926","477","122","34","74","23","48","11","445","144","130","24*","1618","1004","50.18610422","892","67.04035874","27.6674938",,,,,,
"Texas","2010","272","3392","2000","899","492","145","50","98","36","47","14","540","203","143","39*","1602","1017","47.22877358","906","68.98454746","26.70990566",,,,,,
"Texas","2011","266","3597","1945","866","410","127","44","96","37","31","7","641","202","182","40","1688","1035","46.92799555","946","60.46511628","26.29969419",,,,,,
"Texas","2012","278","3614","2102","838","415","142","52","110","43","32","9","609","211","153","26*","1717","1066","47.50968456","950","70.63157895","26.28666298",,,,,,
"Texas","2013","271","3979","2454","910","520","132","64","102","50","30","14","751","334","178","56*","1849","1187","46.46896205","1130","70.26548673","28.39909525",,,,,,
"Virginia","2006",,"646","390","104","53","38","10","32","10","6","0","33","14*","7","1*",,,,,,,,,,,,
"Virginia","2007",,"888","406","148","55","43","13","39","13","4","*","38","10*","8","1*",,,,,,,,,,,,
"Virginia","2008","80","859","402","137","63","42","14","32","11","10","3","40","11*","8","2*",,,,,,,,,,,,
"Virginia","2009","83","913","515","133","67","41","13","30","11","11","2","41","14","8","2",,,,,,,,,,,,
"Virginia","2010","98","1177","736","201","120","50","22","38","18","12","4","56","24","7","3*",,,,,,,,,,,,
"Virginia","2011","89","1203","715","210","114","61","20","52","19","9","1","44","24","6","*",,,,,,,,,,,,
"Virginia","2012","101","1430","854","250","140","58","14","47","12","11","2","55","26","12","2*",,,,,,,,,,,,
"Virginia","2013","110","1655","1074","308","207","78","22","62","17","16","5","90","42","9","2*",,,,,,,,,,,,
