Claim ID,Time to Close,Claim Amount,Amount Paid,Location,Individuals on Claim,Linked Cases,Cause
0000000-00.2010.0.00.0094,2082,"R$50,000.00",34297.47,RECIFE,2,FALSE,
0000000-00.2011.0.00.0086,3591,"R$180,000.00",56383.54,SAO LUIS,7,FALSE,
0000000-00.2012.0.00.0092,2997,"R$70,000.00",12366.76,SAO LUIS,3,FALSE,vegetables
0000000-00.2013.0.00.0096,1143,"R$95,104.00",29217.16,FORTALEZA,4,FALSE,
0000000-00.2014.0.00.0097,117,"R$29,000.00",12610.5,FORTALEZA,1,FALSE,meat
0000000-00.2014.0.00.0077,578,"R$150,000.00",23214.56,FORTALEZA,6,FALSE,
0000000-00.2014.0.00.0076,378,"R$50,000.00",25281.18,NATAL,2,FALSE,meat
0000000-00.2014.0.00.0043,2354,"R$40,870.00",24161.73,FORTALEZA,1,FALSE,
0000000-00.2014.0.00.0071,2325,"R$70,000.00",37464.39,FORTALEZA,3,FALSE,
0000000-00.2015.0.00.0000,2058,"R$55,000.00",9199.03,RECIFE,2,FALSE,
0000000-00.2015.0.00.0095,557,"R$32,000.00",19241.91,FORTALEZA,1,FALSE,
0000000-00.2015.0.00.0018,2153,"R$27,741.00",11114.31,NATAL,1,FALSE,
0000000-00.2015.0.00.0002,2002,"R$37,801.00",29760.22,RECIFE,1,FALSE,
0000000-00.2016.0.00.0045,1737,"R$123,102.00",70678.11,SAO LUIS,5,FALSE,
0000000-00.2016.0.00.0083,1823,"R$16,789.00",5227.91,SAO LUIS,0,FALSE,
0000000-00.2016.0.00.0030,1719,"R$56,000.00",19618.81,SAO LUIS,2,FALSE,meat
0000000-00.2016.0.00.0084,1693,"R$40,000.00",29684.92,SAO LUIS,1,FALSE,
0000000-00.2016.0.00.0075,120,"R$100,000.00",47091.84,NATAL,4,FALSE,
0000000-00.2016.0.00.0042,1631,"R$110,000.00",49901.2,FORTALEZA,4,FALSE,
0000000-00.2016.0.00.0019,1614,"R$40,000.00",19311.26,SAO LUIS,1,FALSE,
0000000-00.2016.0.00.0027,1728,"R$48,872.00",36432.29,SAO LUIS,2,FALSE,
0000000-00.2016.0.00.0090,1696,"R$40,000.00",23605.38,SAO LUIS,1,FALSE,
0000000-00.2016.0.00.0025,1573,"R$200,000.00",150832.19,RECIFE,8,FALSE,vegetables
0000000-00.2017.0.00.0029,1126,"R$88,282.00",50867.69,SAO LUIS,3,FALSE,
0000000-00.2017.0.00.0046,1303,"R$36,000.00",21300.45,SAO LUIS,1,FALSE,
0000000-00.2017.0.00.0058,1204,"R$157,415.00",123047.25,FORTALEZA,6,FALSE,
0000000-00.2017.0.00.0039,1392,"R$36,000.00",11845.08,NATAL,1,FALSE,
0000000-00.2017.0.00.0087,1178,"R$150,000.00",28939.57,SAO LUIS,6,FALSE,
0000000-00.2017.0.00.0031,1169,"R$400,000.00",119084.55,SAO LUIS,17,TRUE,vegetables
0000000-00.2017.0.00.0011,1164,"R$704,839.00",164058.23,RECIFE,30,TRUE,meat
0000000-00.2017.0.00.0034,1177,"R$82,297.00",17349.58,SAO LUIS,3,FALSE,
0000000-00.2017.0.00.0012,1096,"R$56,909.00",44556.19,RECIFE,2,FALSE,
0000000-00.2018.0.00.0024,1065,"R$200,000.00",38018.93,NATAL,8,FALSE,meat
0000000-00.2018.0.00.0089,1051,"R$410,000.00",294547.51,SAO LUIS,18,TRUE,
0000000-00.2018.0.00.0007,912,"R$36,180.00",24577.85,FORTALEZA,1,FALSE,
0000000-00.2018.0.00.0049,1024,"R$25,000.00",14560.85,SAO LUIS,1,FALSE,meat
0000000-00.2018.0.00.0004,945,"R$40,000.00",27674.09,RECIFE,1,FALSE,
0000000-00.2018.0.00.0062,1090,"R$63,872.00",35651.11,RECIFE,2,FALSE,vegetables
0000000-00.2018.0.00.0003,925,"R$3,841.00",1324.24,RECIFE,0,FALSE,
0000000-00.2018.0.00.0020,877,"R$70,000.00",33002.31,RECIFE,3,FALSE,
0000000-00.2018.0.00.0098,153,"R$936,540.00",433320.46,NATAL,41,TRUE,
0000000-00.2018.0.00.0040,997,"R$8,401.00",5394.85,NATAL,0,FALSE,
0000000-00.2018.0.00.0069,906,"R$175,786.00",33174.8,RECIFE,7,FALSE,
0000000-00.2018.0.00.0063,875,"R$189,635.00",119298.1,RECIFE,8,FALSE,
0000000-00.2018.0.00.0013,823,"R$82,327.00",64982.76,NATAL,3,FALSE,
0000000-00.2018.0.00.0067,995,"R$30,000.00",16280.92,RECIFE,1,FALSE,
0000000-00.2018.0.00.0022,774,"R$85,347.00",24809.81,FORTALEZA,3,FALSE,
0000000-00.2018.0.00.0005,769,"R$40,000.00",6559.11,RECIFE,1,FALSE,
0000000-00.2018.0.00.0050,731,"R$243,840.00",74375.27,FORTALEZA,10,FALSE,
0000000-00.2019.0.00.0032,639,"R$40,000.00",22701.02,SAO LUIS,1,FALSE,
0000000-00.2019.0.00.0051,677,"R$45,920.00",29810.2,FORTALEZA,2,FALSE,
0000000-00.2019.0.00.0065,675,"R$75,000.00",35291.54,RECIFE,3,FALSE,vegetables
0000000-00.2019.0.00.0052,638,"R$37,464.00",15860.55,FORTALEZA,1,FALSE,
0000000-00.2019.0.00.0001,659,"R$10,428.00",1722.04,RECIFE,0,FALSE,
0000000-00.2019.0.00.0060,642,"R$363,746.00",177379.01,NATAL,15,TRUE,
0000000-00.2019.0.00.0047,625,"R$136,367.00",67176.37,SAO LUIS,5,FALSE,vegetables
0000000-00.2019.0.00.0054,584,"R$38,000.00",25864.34,FORTALEZA,1,FALSE,
0000000-00.2019.0.00.0078,495,"R$6,691.00",4154.22,FORTALEZA,0,FALSE,
0000000-00.2019.0.00.0079,-57,"R$3,672.00",999.68,SAO LUIS,0,FALSE,
0000000-00.2019.0.00.0009,634,"R$754,317.00",145843.76,NATAL,33,TRUE,meat
0000000-00.2019.0.00.0093,477,"R$68,511.00",21549.15,NATAL,3,FALSE,
0000000-00.2019.0.00.0066,531,"R$199,534.00",136503.81,RECIFE,8,FALSE,
0000000-00.2019.0.00.0081,65,"R$100,000.00",34822.87,RECIFE,4,FALSE,
0000000-00.2019.0.00.0044,506,"R$41,749.00",15683.86,FORTALEZA,1,FALSE,
0000000-00.2019.0.00.0070,504,"R$136,642.00",51334.1,RECIFE,6,FALSE,vegetables
0000000-00.2019.0.00.0072,501,"R$100,000.00",34538.05,RECIFE,4,FALSE,
0000000-00.2019.0.00.0082,135,"R$75,353.00",44340.55,RECIFE,3,FALSE,
0000000-00.2019.0.00.0008,491,"R$47,424.00",28062.03,NATAL,2,FALSE,
0000000-00.2019.0.00.0016,571,"R$27,741.00",4302.24,NATAL,1,FALSE,
0000000-00.2019.0.00.0091,479,"R$40,000.00",28474.37,SAO LUIS,1,FALSE,meat
0000000-00.2019.0.00.0033,473,"R$112,615.00",52374.98,SAO LUIS,4,FALSE,
0000000-00.2019.0.00.0038,472,"R$48,000.00",8205.71,SAO LUIS,2,FALSE,
0000000-00.2019.0.00.0055,662,"R$55,689.00",11239.91,FORTALEZA,2,FALSE,
0000000-00.2019.0.00.0056,387,"R$214,251.00",144665.72,FORTALEZA,9,FALSE,meat
0000000-00.2019.0.00.0085,398,"R$52,679.00",14553.22,RECIFE,2,FALSE,
0000000-00.2019.0.00.0006,599,"R$36,180.00",26111.34,NATAL,1,FALSE,
0000000-00.2019.0.00.0015,415,"R$244,166.00",105402.19,NATAL,10,FALSE,
0000000-00.2019.0.00.0053,372,"R$50,000.00",25340.29,FORTALEZA,2,FALSE,
0000000-00.2020.0.00.0035,60,"R$736,422.00",558725.77,SAO LUIS,32,TRUE,vegetables
0000000-00.2020.0.00.0026,349,"R$30,000.00",9758.29,SAO LUIS,1,FALSE,meat
0000000-00.2020.0.00.0017,338,"R$27,741.00",16575.47,NATAL,1,FALSE,
0000000-00.2020.0.00.0041,120,"R$155,590.00",106768.8,FORTALEZA,6,FALSE,
0000000-00.2020.0.00.0068,120,"R$105,530.00",55607.61,RECIFE,4,FALSE,
0000000-00.2020.0.00.0048,29,"R$41,976.00",32764.03,SAO LUIS,1,FALSE,
0000000-00.2020.0.00.0064,272,"R$3,555.00",1013.36,RECIFE,0,FALSE,
0000000-00.2020.0.00.0061,211,"R$50,000.00",29171.78,NATAL,2,FALSE,
0000000-00.2020.0.00.0037,288,"R$98,330.00",50870.05,SAO LUIS,4,FALSE,
0000000-00.2020.0.00.0080,30,"R$163,830.00",73592.86,SAO LUIS,7,FALSE,
0000000-00.2020.0.00.0014,149,"R$409,816.00",279638.6,NATAL,17,TRUE,
0000000-00.2020.0.00.0036,253,"R$36,000.00",11897.95,SAO LUIS,1,FALSE,
0000000-00.2020.0.00.0028,252,"R$29,000.00",11001.83,SAO LUIS,1,FALSE,meat
0000000-00.2020.0.00.0021,270,"R$167,672.00",90946.75,SAO LUIS,7,FALSE,
0000000-00.2020.0.00.0088,300,"R$111,970.00",43757.54,RECIFE,4,FALSE,
0000000-00.2020.0.00.0023,208,"R$80,396.00",40668.14,FORTALEZA,3,FALSE,meat
0000000-00.2020.0.00.0057,86,"R$50,000.00",8363.96,FORTALEZA,2,FALSE,
0000000-00.2020.0.00.0010,201,"R$60,000.00",42318.8,NATAL,2,FALSE,
0000000-00.2020.0.00.0059,200,"R$474,542.00",329473.49,NATAL,20,TRUE,
0000000-00.2020.0.00.0073,195,"R$40,000.00",15406.95,NATAL,1,FALSE,