country,country_code,Active Personnel,Aircraft Carriers,Armored Vehicles,Attack Helicopters,Available Manpower,Coastline Coverage,Corvettes,Dedicated Attack,Defense Budget,Destroyers,External Debt,Fighters/Interceptors,Fit-for-Service,Foreign Exchange/Gold,Frigates,Helicopter Carriers,Helicopters,Labor Force,Merchant Marine Fleet,Mine Warfare,Navy Ships,Oil Consumption,Oil Production,Oil Proven Reserves,Paramilitary,Patrol Vessels,Ports / Trade Terminals,Purchasing Power Parity,Railway Coverage,Reaching Mil Age Annually,Reserve Personnel,Roadway Coverage,Rocket Projectors,Self-Propelled Artillery,Shared Borders,Special-Mission,Square Land Area,Submarines,Tanker Fleet,Tanks,Total Aircraft Strength,Total Population,Towed Artillery,Trainers,Transports,Waterways (usable)
Liberia,LIB,2000,0,50,0,2294173,579,0,0,11800000,0,826000000,0,1835339,459800000,0,0,0,1677000,3492,0,6,8000,0,0,0,0,2,6500000000,429,62568,0,10600,0,0,1667,0,111369,0,0,0,0,5214030,0,0,0,0
Libya,LBY,30000,0,2275,7,3648956,1770,1,2,3475000000,0,3020000000,127,3136699,74710000000,1,0,32,1114000,94,2,7,260000,1040000,48360000000,0,1,5,68650000000,2000,119293,0,37000,450,183,4339,0,1759540,0,0,100,127,7017224,125,65,8,0
Lithuania,LIT,16000,0,572,0,1762518,90,0,0,1145745000,0,37859000000,10,1374764,4450000000,0,0,5,1333000,64,4,11,58000,2000,12000000,11000,4,3,100000000000,1768,37962,15000,84166,0,21,1545,0,65300,0,0,0,10,2711566,54,0,5,441
Madagascar,MAD,13000,0,109,0,10463055,4828,0,0,109760000,0,3085000000,5,7434276,1600000000,0,0,5,13400000,27,0,8,18000,0,0,10000,9,4,40000000000,836,523153,0,31640,0,0,0,0,587040,0,0,12,5,27534354,17,0,0,600
Malaysia,MLY,115000,0,1708,0,15754121,4675,6,12,3792819200,0,224596000000,144,13072568,102400000000,3,0,41,15139000,1769,4,82,704000,645000,3600000000,100000,29,9,855600000000,1851,536310,52000,144403,54,0,2742,4,329847,2,4,48,144,33519406,196,39,18,7200
Mali,MAL,18000,0,264,7,6242633,0,0,0,591260000,0,4192000000,29,3926818,647800000,0,0,9,6447000,0,0,0,22000,0,0,2000,0,1,44000000000,593,322200,0,139107,32,0,7908,1,1240192,0,0,80,29,20137527,50,4,6,0
Mauritania,MAU,16000,0,100,0,1590921,754,0,4,194475000,0,4150000000,25,1113645,875000000,0,0,4,1437000,5,0,5,17000,4000,20000000,5000,3,2,23000000000,728,77506,0,12253,0,0,5002,2,1030700,0,0,30,25,4079284,100,9,6,0
Mexico,MEX,250000,0,3435,0,61197464,9330,7,33,6456000000,0,456713000000,469,49609008,175300000000,5,0,159,50914000,671,0,154,1984000,1855000,6630000000,100000,126,14,2306320000000,20825,2213525,65000,398148,0,0,4389,25,1964375,0,0,0,469,130207371,200,204,45,2900
Moldova,MOL,6000,0,381,0,1994325,0,0,0,47640000,0,7232000000,3,1655290,2803000000,0,0,2,1295000,147,0,0,18000,0,0,1000,0,0,32260000000,1171,66478,12000,9352,25,9,1885,0,33851,0,0,10,3,3323875,69,0,1,558
Mongolia,MON,9000,0,770,0,1823380,0,0,0,91980000,0,29945000000,11,1513086,3016000000,0,0,6,1241000,302,0,0,27000,20000,0,10000,0,0,37600000000,1815,60779,50000,113200,130,0,8082,0,1564116,0,0,470,11,3198913,300,2,3,580
Montenegro,MTN,2000,0,100,0,145,294,0,0,74074500,0,2516000000,11,86253,1077000000,0,0,11,167000,17,0,13,6000,0,0,10000,5,1,11500000000,250,3644,0,7762,18,0,680,0,13812,0,0,0,11,607414,12,0,0,0
Morocco,MOR,200000,0,3500,0,17549670,1835,1,0,5438823613,0,52957000000,249,14917220,26270000000,6,0,64,10399000,93,0,121,278000,160,684000,25000,22,7,259420000000,2067,621551,100000,57300,144,517,2363,4,446550,0,2,3335,249,36561813,211,67,29,0
Mozambique,MOZ,11000,0,317,2,13590735,2470,0,0,140200000,0,10910000000,18,7196912,3361000000,0,0,8,12900000,30,0,8,26000,0,0,0,8,3,38420000000,4787,494209,0,31083,12,0,4783,0,799380,0,0,90,18,30888034,270,1,1,460
Myanmar,MYA,400000,0,1587,9,30246622,1930,3,21,2285700000,0,6594000000,280,21800396,4924000000,5,0,80,22300000,95,2,155,123000,11000,139000000,50000,133,3,247240000000,5031,1027244,0,157000,486,190,6522,5,676578,1,0,664,280,57069099,1869,93,26,12800
Namibia,NAM,12500,0,489,2,589202,1572,2,0,363800000,0,7969000000,30,382981,2432000000,0,0,7,956800,14,0,8,27000,0,0,5000,5,2,22600000000,2628,29460,0,48875,7,0,4220,0,824292,0,0,5,30,2678191,54,14,3,0
Nepal,NEP,95000,0,277,0,14908190,0,0,0,437580000,0,5849000000,14,11470179,9091000000,0,0,9,16810000,0,0,0,27000,0,0,10000,0,0,110720000000,59,760622,0,27990,0,0,3159,0,147181,0,0,0,14,30424878,14,0,5,0
Netherlands,NTH,35000,0,2806,24,7801831,451,0,13,14260000000,0,4345413000000,156,6328152,38440000000,6,0,70,8907000,1199,6,61,945500,18000,81130000,5000,4,6,945480000000,3058,190711,5000,139124,0,57,1053,0,41543,4,1,18,156,17337403,15,28,4,6237
New Zealand,NWZ,9600,0,500,0,2146320,15134,0,0,3700000000,0,190621000000,47,1717056,20680000000,2,0,22,2709000,115,0,9,169100,25000,51800000,0,4,6,215600000000,4128,59897,2500,94000,0,0,0,5,267710,0,0,0,47,4991442,24,13,7,0
Nicaragua,NIC,12000,0,300,0,3059526,910,0,0,88340000,0,11674000000,17,2597475,2758000000,0,0,11,3046000,5,0,25,37000,0,0,0,22,2,34980000000,0,137366,0,23897,163,0,1253,0,130370,0,0,195,17,6243931,630,1,5,2220
Niger,NGR,10000,0,182,1,7081730,0,0,2,287280000,0,3728000000,16,4744759,1314000000,0,0,7,6500000,1,0,0,14000,9000,150000000,3000,0,0,28970000000,0,401298,0,18949,0,0,5834,2,1267000,0,0,0,16,23605767,0,0,5,300
Nigeria,NGA,135000,0,2019,15,116315847,853,0,22,5875755689,0,26847000000,140,83835195,38770000000,1,0,52,60080000,791,2,133,325000,2000000,37450000000,80000,109,4,1013530000000,3798,3950350,0,195000,47,44,4477,6,923768,0,0,376,140,219463862,349,26,20,8600
North Korea,NKO,1200000,0,4114,20,9299290,2495,0,114,4500000000,0,5000000000,946,5217935,5000000000,5,0,204,14000000,264,10,450,18000,0,0,200000,200,7,38500000000,7435,413302,600000,25554,1360,450,1607,0,120538,35,0,5895,946,25831360,250,169,1,2250
North Macedonia,MAC,7500,0,228,4,944948,0,0,0,192639000,0,9065000000,20,781072,2802000000,0,0,10,793000,0,0,0,21000,0,0,4000,0,0,33000000000,925,27667,3000,14182,11,0,838,0,25713,0,0,10,20,2128262,36,10,0,280
Norway,NOR,23000,0,700,0,2203836,25148,6,21,8300000000,0,651040000000,161,1807146,65920000000,4,0,49,2699000,1644,6,48,205300,1515000,6376000000,40000,17,11,342060000000,4200,71625,0,94902,12,80,2566,8,323802,6,0,36,161,5509591,0,35,4,1577
Oman,OMA,40000,0,932,0,1404007,2092,5,10,8396300000,0,46270000000,128,1222964,16090000000,0,0,31,2255000,57,0,22,188000,980000,5373000000,6000,12,5,135000000000,0,48032,0,60230,12,0,1561,4,309500,0,0,117,128,3694755,183,45,9,0
Pakistan,PAK,640000,0,9950,57,102417845,1046,2,90,7690148664,2,107527000000,1387,80981552,18460000000,6,0,307,61710000,57,3,114,557000,90000,332200000,500000,48,2,1021130000000,11881,4525440,500000,263775,560,689,7257,24,796095,9,4,2824,1387,238181034,1208,551,54,25220
Panama,PAN,0,0,50,0,1767891,2490,0,0,741160000,0,101393000000,39,1060734,2703000000,0,0,22,1633000,7980,0,20,146000,0,0,27000,0,3,109000000000,77,47144,0,11978,0,0,687,1,75420,0,0,0,39,3928646,0,4,12,800
Paraguay,PAR,14000,0,75,0,3418140,0,0,0,353000000,0,16622000000,41,2901783,7877000000,0,0,15,3428000,110,0,40,43000,0,0,10000,16,4,85000000000,30,145453,50000,74676,0,6,4655,0,406752,0,0,8,41,7272639,50,15,9,3100
Peru,PER,95000,0,552,16,15456588,2414,7,22,1830000000,0,81333000000,243,12526276,63830000000,7,0,89,3421000,98,0,63,250000,50000,434900000,50000,7,8,400000000000,1854,611823,100000,140672,90,24,7062,9,1285216,6,0,146,243,32201224,231,66,39,8808
Philippines,PHI,130000,0,600,2,47651880,36289,1,25,4390000000,0,81995000000,182,39118869,81570000000,2,0,103,41533000,1805,0,93,424000,13000,138500000,50000,50,5,871560000000,77,1994730,100000,216387,0,12,0,9,300000,0,0,18,182,110818325,286,24,21,3219
Poland,POL,120000,0,4786,30,18711097,440,2,0,14500000000,0,351770000000,452,15350737,113300000000,2,0,207,9561000,143,21,86,649600,21000,126000000,32500,3,4,1200000000000,19231,458231,0,420000,197,609,2845,9,312685,1,0,863,452,38185913,0,96,49,3997
Portugal,POR,30500,0,725,0,5172401,1793,2,0,3360000000,0,441485000000,97,3982749,29050000000,5,0,22,4828100,726,0,107,236000,12932,0,25000,20,7,331640000000,3075,124138,100000,82900,0,24,1224,10,92090,2,0,37,97,10344802,45,26,15,210
Qatar,QTR,14000,0,3100,24,619999,563,4,6,5856000000,0,167800000000,165,476159,15010000000,0,0,66,1953000,129,0,86,277000,1465000,25240000000,5000,20,3,245660000000,0,12400,0,7039,47,46,87,0,11586,0,0,134,165,2479995,12,41,12,0
Republic of the Congo,ROC,12000,0,181,1,2004443,169,0,0,348160000,0,4605000000,13,1202666,505700000,0,0,8,2055000,11,0,6,17000,340000,1600000000,2000,0,6,20000000000,510,102931,0,23324,30,3,5008,0,342000,0,0,53,13,5417414,23,0,3,1120
Romania,ROM,67000,0,1392,0,11039788,225,7,0,5148090000,0,117829000000,147,9044134,44430000000,3,0,62,4889000,121,5,45,198000,70000,600000000,15000,3,6,556070000000,11268,233534,50000,84185,207,0,2844,2,238391,0,0,451,147,21230362,808,42,11,1731
Russia,RUS,850000,1,30122,544,69737187,37653,86,739,154000000000,15,479844000000,4173,46681219,432700000000,11,0,1543,69923000,2873,49,605,3650000,10760000,80000000000,250000,59,8,3875690000000,87157,1280887,250000,1283387,3391,6574,22408,132,17098242,70,20,12420,4173,142320790,7571,522,445,102000
Saudi Arabia,SAR,225000,0,6202,34,18087554,2640,4,81,46000000000,0,205100000000,897,16626636,496400000000,7,0,258,13800000,392,3,57,3287000,10425000,266200000000,125000,39,5,1543240000000,5410,591324,0,221372,275,705,4272,14,2149690,0,22,1062,897,34783757,1818,190,49,0
Serbia,SER,25000,0,1133,4,3417402,0,0,17,1059200000,0,30927000000,117,2699050,11910000000,0,0,51,3000000,0,4,16,74000,17000,77500000,5000,6,1,125800000000,3809,83691,50000,44248,406,93,2322,0,77474,0,0,323,117,6974289,404,38,1,587
Sierra Leone,SIE,9000,0,20,2,1497601,402,0,0,19325000,0,1615000000,4,898561,478000000,0,0,4,132000,591,0,10,6500,0,0,0,7,3,13150000000,0,34036,0,11700,0,0,1093,0,71740,0,0,0,4,6807277,0,0,0,800
Singapore,SIN,60000,0,3517,18,3812990,193,6,0,11560000000,0,1557646000000,244,2557637,279900000000,6,0,79,3778000,3321,4,40,1322000,0,0,10000,15,1,531040000000,0,64528,200000,3500,24,48,0,9,697,5,11,170,244,5866139,77,36,9,10
Slovakia,SLK,13000,0,454,0,2772394,0,0,0,2092000000,0,115853000000,50,2299456,3622000000,0,0,24,2511000,0,0,0,85880,200,9000000,0,0,2,165570000000,3580,59797,0,56926,25,16,1587,1,49035,0,0,20,50,5436066,9,8,7,172
Slovenia,SLV,7000,0,380,0,1009011,47,0,0,581680000,0,48656000000,37,828230,889900000,0,0,12,885000,9,0,2,52140,5,0,5000,2,1,76750000000,1229,22913,2000,38985,0,8,1211,0,20273,0,0,44,37,2102106,18,22,3,0
Somalia,SOM,17500,0,65,0,2781767,3025,0,0,63934000,0,5300000000,0,1669060,30450000,0,0,0,4154000,4,0,3,5600,0,0,0,11,2,13190000000,0,120946,0,15000,0,0,2385,0,637657,0,0,0,0,12094640,0,0,0,0
South Africa,SAF,72000,0,2565,12,26210172,2798,0,0,2910671379,0,179871000000,225,14130701,50720000000,4,0,91,14687000,105,2,47,621000,1600,15000000,180000,31,6,680040000000,20986,968637,15000,750000,50,43,5244,7,1219090,3,0,195,225,56978635,82,88,22,0
South Korea,SKO,555000,0,13990,112,25857581,2413,11,90,46320000000,12,457745000000,1595,21203216,389200000000,18,2,739,26839000,1904,13,234,2584000,0,0,75000,111,11,2187800000000,3979,413721,500000,100428,574,3040,237,30,99720,22,4,2624,1595,51715162,3854,289,41,1600
South Sudan,SSU,175000,0,150,6,5492037,0,0,0,276000000,0,2250000000,18,3514904,73000000,0,0,16,750000,0,0,0,8000,150200,3750000000,0,0,0,20000000000,248,285586,0,90200,7,12,6018,0,644329,0,0,55,18,10984074,0,0,2,0
Spain,SPA,120000,1,5033,23,21739869,4964,0,12,11750000000,0,2338853000000,503,17628198,69410000000,11,0,119,19057000,478,6,139,1296000,1700,150000000,80000,22,12,1714860000000,15333,330824,15000,683175,0,96,1953,15,505370,2,0,327,503,47260584,140,168,49,1000
Sri Lanka,SRL,250000,2022,600,9,11061179,1340,0,0,1860000000,0,55332000000,86,8964164,7959000000,5,0,56,8000000,90,0,275,116000,0,0,11000,59,1,274800000000,1562,322618,5500,114093,22,0,0,2,65610,0,0,182,86,23044123,164,6,17,160
Sudan,SUD,100000,0,207,43,24778111,853,0,38,287210000,0,56050000000,192,15848641,198000000,0,0,72,11920000,15,0,18,112000,95000,5000000000,55000,10,1,176400000000,7251,1215530,50000,31000,30,10,6819,0,1861484,0,0,360,192,46751152,389,12,25,1723
Suriname,SUR,1800,0,100,0,135245,386,0,0,41888000,0,1700000000,3,79917,424400000,0,0,3,144000,10,0,18,13000,17000,84200000,0,16,2,9460000000,0,3074,0,4304,0,0,1907,0,163820,0,0,0,3,614749,0,0,0,1200
Sweden,SWE,16000,0,3371,0,4104707,3218,7,0,8600000000,0,911317000000,204,3447954,62220000000,0,0,53,5029000,370,9,316,323100,0,0,22000,161,11,524750000000,14127,102618,0,573134,0,48,2211,4,450295,5,1,121,204,10261767,0,69,6,2052
Switzerland,SWI,24000,0,1339,0,3719606,0,0,0,5984000000,0,1909446000000,158,3017953,811200000000,0,0,42,5067000,20,0,0,223900,0,0,0,0,1,590170000000,5690,92990,120000,71557,0,133,1770,1,41277,0,0,134,158,8453650,0,46,17,1299
Syria,SYR,100000,0,5372,27,13045962,193,0,18,2020500000,0,4989000000,452,11313295,407300000,0,0,154,3767000,28,7,43,134000,25000,2500000000,50000,33,3,47000000000,2052,570761,0,69873,629,552,2363,0,185180,0,0,3540,452,20384316,2210,67,5,900
Taiwan,TAI,170000,0,3472,91,12257467,1566,2,0,16800000000,4,189684000000,741,1060742,456700000000,22,0,208,11498000,429,14,117,962400,200,2380000,11500,43,6,1145277000000,1613,306437,1500000,43206,115,257,0,19,35980,4,0,1110,741,23572052,1410,207,19,3720
Tajikistan,TAJ,9500,0,100,6,4135802,0,0,0,90134000,0,6470000000,25,3263687,1292000000,0,0,20,2295000,0,0,0,24000,180,12000000,5500,0,0,34880000000,680,152845,0,30000,62,0,4130,0,143100,0,0,47,25,8990874,10,4,1,200
Tanzania,TAN,26000,0,89,0,11176697,1424,0,0,748920000,0,22054000000,37,6147183,5301000000,0,0,9,24890000,314,0,19,72000,0,0,1000,10,2,152790000000,4567,558835,40000,87581,0,0,4161,0,947300,0,0,42,37,62092761,0,8,6,0
Thailand,THA,350000,0,2836,7,36129870,3219,7,18,2933064054,0,167890000000,469,27792208,202600000000,7,1,177,37546000,839,5,292,1326000,230000,349400000,6000,49,5,1200000000000,4127,1111688,100000,180053,5,44,5673,20,513120,0,0,637,469,69480520,116,130,50,4000
Tunisia,TUN,36000,0,954,0,5905668,1148,0,0,1177200000,0,35911000000,151,5078874,5594000000,0,0,102,4054000,71,0,40,102000,40000,425000000,10000,36,5,115000000000,2173,200793,0,20000,0,0,1495,0,163610,0,0,145,151,11811335,86,29,9,0
Turkey,TUR,425000,0,13270,107,42148498,7200,10,0,9690000000,0,438677000000,1057,35384942,107700000000,16,0,474,25677000,1217,11,156,989900,55000,341600000,150000,35,10,2400000000000,12710,1402201,200000,67333,407,956,2816,20,783562,12,7,3022,1057,82482383,1189,270,81,1200
Turkmenistan,TKM,30000,0,2050,10,2689506,1768,0,27,407070000,0,539400000,82,2181737,24910000000,0,0,26,2305000,73,0,30,160000,245000,600000000,5000,25,1,90000000000,5113,106018,0,58592,160,73,4158,0,488100,0,0,680,82,5579889,457,0,5,1300
Uganda,UGA,47000,0,1056,5,15202129,0,0,0,934250000,0,13850000000,49,8987141,3654000000,0,0,25,15840000,0,0,8,32000,0,2500000000,1500,0,3,95000000000,1244,894243,10000,20544,26,6,2729,0,241038,0,0,237,49,44712143,35,12,2,0
Ukraine,UKR,200000,0,12303,34,22310276,2782,1,29,11870000000,0,117410000000,318,15617193,18810000000,1,0,112,17990000,409,1,38,233000,32000,395000000,50000,13,6,515000000000,21733,481202,250000,169694,490,1067,5618,5,603550,0,0,2596,318,43745640,2040,71,32,2150
United Arab Emirates,UAE,65000,0,9255,30,5716835,1318,9,20,25266000000,0,237600000000,554,4859310,95370000000,0,0,223,5344000,623,2,79,896000,3215000,97800000000,12000,38,8,660000000000,0,78853,0,4080,149,183,1066,23,83600,0,3,354,554,9856612,76,146,39,0
United Kingdom,UKD,194000,2,5015,24,30857260,12429,0,23,68000000000,6,8721590000000,693,24685808,150800000000,12,0,235,35412000,1249,11,75,1584000,1000000,2069000000,0,26,16,2797980000000,16837,737891,37000,394428,44,89,443,20,243610,10,9,227,693,67081000,126,247,40,3200
United States,USA,1390000,11,45193,910,147399295,19924,22,783,770000000000,92,20275951000000,13247,122274415,123300000000,0,9,5463,146128000,3627,8,484,19960000,11000000,35000000000,0,10,35,19846720000000,293564,4354979,442000,6586610,1366,1498,12048,774,9826675,68,627,6612,13247,334998398,1339,2661,982,41009
Uruguay,URU,22000,0,474,0,1563190,660,0,7,1072600000,0,43705000000,50,1311720,15960000000,1,0,11,1748000,61,2,18,53000,0,0,1500,3,1,75060000000,1673,54372,0,77732,0,6,1591,5,176215,0,0,79,50,3398239,64,17,8,1600
Uzbekistan,UZB,55000,0,1215,33,16038254,420,0,20,692520000,0,16900000000,200,13478302,16000000000,0,0,96,13273000,0,0,0,60000,41000,594000000,10000,0,1,239420000000,4642,616856,0,86496,98,137,6893,0,447400,0,0,420,200,30842796,60,7,18,1100
Venezuela,VEN,137500,0,2534,10,14534577,2800,0,0,1929600000,0,100300000000,256,11918353,9661000000,2,0,78,14210000,281,0,46,659000,1500000,302300000000,1600000,31,5,265000000000,447,581383,30000,96189,54,60,5267,3,912050,2,1,300,256,29069153,104,80,50,7100
Vietnam,VTN,470000,0,4420,0,53450591,3444,14,0,6237600000,0,96580000000,218,43788369,49500000000,9,0,99,54659000,1926,8,109,438000,245000,4400000000,40000,54,8,800000000000,2600,1747423,0,195468,760,50,4616,4,331210,6,0,2044,218,102789598,599,30,9,17702
Yemen,YEM,45000,0,300,14,11551712,1906,2,0,1010070000,0,6805000000,177,8542187,245400000,0,0,61,7425000,34,3,35,104000,61000,3000000000,375000,15,3,65000000000,0,577586,0,71300,50,10,1601,2,527968,0,0,200,177,30399243,43,30,8,0
Zambia,ZAM,16500,0,226,0,6677236,0,0,0,251160000,0,11660000000,97,3796485,2082000000,0,0,27,6898000,2,0,0,23000,0,0,1000,0,1,60120000000,3126,343401,0,67671,50,0,6043,0,752618,0,0,75,97,19077816,42,51,11,2250
Zimbabwe,ZIM,30000,0,318,6,5635395,0,0,0,117390000,0,9357000000,90,3218107,431800000,0,0,28,7907000,0,0,0,27000,0,0,10000,0,2,40790000000,3427,311430,0,97267,23,0,3229,0,390757,0,0,50,90,14829988,60,38,14,0
