Year,Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
2005,Ray Allen,SG,6-5,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2005,Elton Brand,PF,6-9,254,Los Angeles Clippers,Western All-Star Coaches Selection,1999 Rnd 1 Pick 1,United States
2005,Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States
2005,Pau Gasol,FC,7-0,250,Memphis Grizzlies,Western All-Star Coaches Selection,2001 Rnd 1 Pick 3,Spain
2005,Shawn Marion,F,6-7,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States
2005,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2005,Tony Parker,G,6-2,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France
2005,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2005,Dwyane Wade,SG,6-4,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
2005,LeBron James,F,6-8,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2005,Shaquille O'Neal,C,7-1,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2005,Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States
2005,Chauncey Billups,G,6-3,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States
2005,Chris Bosh,PF,6-11,235,Toronto Raptors,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States
2005,Vince Carter,SF,6-6,220,New Jersey Nets,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States
2005,Richard Hamilton,SG,6-7,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States
2005,Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2005,Ben Wallace,FC,6-9,240,Detroit Pistons,Eastern All-Star Coaches Selection,"1996 NBA Draft, Undrafted",United States
2005,Rasheed Wallace,FC,6-11,230,Detroit Pistons,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States
2005,Gilbert Arenas,G,6-3,191,Washington Wizards,Eastern All-Star Replacement Selection,2001 Rnd 2 Pick 2,United States
2004,Kobe Bryant,SG,6-6,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2004,Tracy McGrady,GF,6-8,210,Houston Rockets,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2004,Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2004,Tim Duncan,FC,6-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2004,Yao Ming,C,7-6,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2004,Manu Ginobili,SG,6-6,205,San Antonio Spurs,Western All-Star Coaches Selection,1999 Rnd 2 Pick 28,Argentina
2004,Amar'e Stoudemire,FC,6-10,245,Phoenix Suns,Western All-Star Coaches Selection,2002 Rnd 1 Pick 9,United States
2004,Ray Allen,SG,6-5,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2004,Shawn Marion,F,6-7,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States
2004,Steve Nash,G,6-3,178,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2004,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2004,Rashard Lewis,F,6-10,235,Seattle SuperSonics,Western All-Star Coaches Selection,1998 Rnd 2 Pick 3,United States
2004,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2004,LeBron James,F,6-8,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2004,Vince Carter,SF,6-6,220,New Jersey Nets,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2004,Shaquille O'Neal,C,7-1,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2004,Grant Hill,SF,6-8,225,Orlando Magic,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 3,United States
2004,Gilbert Arenas,G,6-3,191,Washington Wizards,Eastern All-Star Coaches Selection,2001 Rnd 2 Pick 2,United States
2004,Antawn Jamison,F,6-9,235,Washington Wizards,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 4,United States
2004,Dwyane Wade,SG,6-4,220,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 5,United States
2004,Zydrunas Ilgauskas,C,7-3,260,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 20,Lithuania
2004,Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States
2004,Ben Wallace,FC,6-9,240,Detroit Pistons,Eastern All-Star Coaches Selection,"1996 NBA Draft, Undrafted",United States
2004,Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2003,Steve Francis,G,6-3,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States
2003,Yao Ming,C,7-6,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2003,Kobe Bryant,SG,6-6,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2003,Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2003,Tim Duncan,FC,6-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2003,Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States
2003,Andrei Kirilenko,PF,6-9,235,Utah Jazz,Western All-Star Coaches Selection,1999 Rnd 1 Pick 24,Russia
2003,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2003,Peja Stojakovic,F,6-10,229,Sacramento Kings,Western All-Star Coaches Selection,1996 Rnd 1 Pick 14,"Serbia
Greece"
2003,Ray Allen,SG,6-5,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2003,Brad Miller,C,7-0,261,Sacramento Kings,Western All-Star Coaches Selection,"1998 NBA Draft, Undrafted",United States
2003,Sam Cassell,G,6-3,185,Minnesota Timberwolves,Western All-Star Coaches Selection,1993 Rnd 1 Pick 24,United States
2003,Ben Wallace,FC,6-9,240,Detroit Pistons,Eastern All-Star Fan Vote Selection,"1996 NBA Draft, Undrafted",United States
2003,Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States
2003,Tracy McGrady,GF,6-8,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2003,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2003,Vince Carter,SF,6-6,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2003,Jason Kidd,PG,6-4,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
2003,Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2003,Baron Davis,G,6-3,215,New Orleans Hornets,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 3,United States
2003,Metta World Peace,SF,6-7,260,Indiana Pacers,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 16,United States
2003,Michael Redd,G,6-6,220,Milwaukee Bucks,Eastern All-Star Coaches Selection,2000 Rnd 2 Pick 14,United States
2003,Kenyon Martin,F,6-9,240,New Jersey Nets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 1,United States
2003,Jamaal Magloire,C,6-11,259,New Orleans Hornets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 19,Canada
2002,Ben Wallace,FC,6-9,240,Detroit Pistons,Eastern All-Star Fan Vote Selection,"1996 NBA Draft, Undrafted",United States
2002,Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States
2002,Tracy McGrady,GF,6-8,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2002,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2002,Jason Kidd,PG,6-4,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
2002,Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2002,Antoine Walker,F,6-9,265,Boston Celtics,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 6,United States
2002,Zydrunas Ilgauskas,C,7-3,260,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 20,Lithuania
2002,Michael Jordan,SG,6-6,215,Washington Wizards,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
2002,Jamal Mashburn,SF,6-8,247,New Orleans Hornets,Eastern All-Star Coaches Selection,1993 Rnd 1 Pick 4,United States
2002,Vince Carter,SF,6-6,220,Toronto Raptors,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States
2002,Brad Miller,C,7-0,261,Indiana Pacers,Eastern All-Star Coaches Selection,"1998 NBA Draft, Undrafted",United States
2002,Steve Francis,G,6-3,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States
2002,Yao Ming,C,7-6,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2002,Kobe Bryant,SG,6-6,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2002,Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2002,Tim Duncan,FC,6-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2002,Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States
2002,Stephon Marbury,G,6-2,180,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 4,United States
2002,Shawn Marion,F,6-7,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States
2002,Steve Nash,G,6-3,178,Dallas Mavericks,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2002,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2002,Gary Payton,G,6-4,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
2002,Peja Stojakovic,F,6-10,229,Sacramento Kings,Western All-Star Replacement Selection,1996 Rnd 1 Pick 14,"Serbia
Greece"
2002,Chris Webber,F-C,6-9,245,Sacramento Kings,Western All-Star Coaches Selection,1993 Rnd 1 Pick 1,United States
2001,Dikembe Mutombo,C,7-2,260,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1991 Rnd 1 Pick 4,Democratic Republic of the Congo
2001,Vince Carter,SF,6-6,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2001,Antoine Walker,F,6-9,265,Boston Celtics,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 6,United States
2001,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2001,Ray Allen,SG,6-5,205,Milwaukee Bucks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2001,Shareef Abdur-Rahim,F,6-9,225,Atlanta Hawks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 3,United States
2001,Jason Kidd,PG,6-4,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
2001,Tracy McGrady,GF,6-8,210,Orlando Magic,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 9,United States
2001,Alonzo Mourning,C,6-10,240,Miami Heat,Eastern All-Star Coaches Selection,1992 Rnd 1 Pick 2,United States
2001,Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2001,Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States
2001,Baron Davis,G,6-3,215,Charlotte Hornets,Eastern All-Star Replacement Selection,1999 Rnd 1 Pick 3,United States
2001,Michael Jordan,SG,6-6,215,Washington Wizards,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
2001,Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2001,Tim Duncan,FC,6-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2001,Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2001,Kobe Bryant,SG,6-6,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2001,Steve Francis,G,6-3,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States
2001,Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
2001,Steve Nash,G,6-3,178,Dallas Mavericks,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2001,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2001,Gary Payton,G,6-4,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
2001,Peja Stojakovic,F,6-10,229,Sacramento Kings,Western All-Star Coaches Selection,1996 Rnd 1 Pick 14,"Serbia
Greece"
2001,Wally Szczerbiak,F,6-7,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1999 Rnd 1 Pick 6,"United States
Spain"
2001,Chris Webber,F-C,6-9,245,Sacramento Kings,Western All-Star Coaches Selection,1993 Rnd 1 Pick 1,United States
2001,Elton Brand,PF,6-9,254,Los Angeles Clippers,Western All-Star Replacement Selection,1999 Rnd 1 Pick 1,United States
2000,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2000,Tracy McGrady,GF,6-8,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2000,Vince Carter,SF,6-6,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2000,Alonzo Mourning,C,6-10,240,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 2,United States
2000,Grant Hill,SF,6-8,225,Orlando Magic,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 3,United States
2000,Ray Allen,SG,6-5,205,Milwaukee Bucks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2000,Antonio Davis,FC,6-9,245,Toronto Raptors,Eastern All-Star Replacement Selection,1990 Rnd 2 Pick 18,United States
2000,Theo Ratliff,C,6-10,235,Philadelphia Sixers,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 18,United States
2000,Glenn Robinson,SF,6-7,225,Milwaukee Bucks,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 1,United States
2000,Jerry Stackhouse,SF,6-6,218,Detroit Pistons,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 3,United States
2000,Stephon Marbury,G,6-2,180,New Jersey Nets,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 4,United States
2000,Anthony Mason,PF,6-7,250,Miami Heat,Eastern All-Star Coaches Selection,1988 Rnd 3 Pick 3,United States
2000,Dikembe Mutombo,C,7-2,260,Atlanta Hawks,Eastern All-Star Replacement Selection,1991 Rnd 1 Pick 4,Democratic Republic of the Congo
2000,Latrell Sprewell,SG,6-5,190,New York Knicks,Eastern All-Star Replacement Selection,1992 Rnd 1 Pick 24,United States
2000,Allan Houston,G,6-6,205,New York Knicks,Eastern All-Star Coaches Selection,1993 Rnd 1 Pick 11,United States
2000,Jason Kidd,PG,6-4,210,Phoenix Suns,Western All-Star Fan Vote Selection,1994 Rnd 1 Pick 2,United States
2000,Kobe Bryant,SG,6-6,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2000,Tim Duncan,FC,6-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2000,Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2000,Chris Webber,F-C,6-9,245,Sacramento Kings,Western All-Star Fan Vote Selection,1993 Rnd 1 Pick 1,United States
2000,Michael Finley,G-F,6-7,225,Dallas Mavericks,Western All-Star Coaches Selection,1995 Rnd 1 Pick 21,United States
2000,Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States
2000,Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
2000,Antonio McDyess,F,6-9,245,Denver Nuggets,Western All-Star Coaches Selection,1995 Rnd 1 Pick 2,United States
2000,Gary Payton,G,6-4,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
2000,Rasheed Wallace,FC,6-11,230,Portland Trail Blazers,Western All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States
2000,David Robinson,C,7-1,250,San Antonio Spurs,Western All-Star Coaches Selection,1987 Rnd 1 Pick 1,United States
2000,Vlade Divac,C,7-1,260,Sacramento Kings,Western All-Star Replacement Selection,1989 Rnd 1 Pick 26,Serbia